,Fecha de notificación,Código DIVIPOLA departamento,Nombre departamento,Casos
0,1/1/2021 0:00:00,5,ANTIOQUIA,515
1,1/1/2021 0:00:00,8,ATLANTICO,292
2,1/1/2021 0:00:00,11,BOGOTA,1541
3,1/1/2021 0:00:00,13,BOLIVAR,151
4,1/1/2021 0:00:00,15,BOYACA,92
5,1/1/2021 0:00:00,17,CALDAS,135
6,1/1/2021 0:00:00,18,CAQUETA,13
7,1/1/2021 0:00:00,19,CAUCA,84
8,1/1/2021 0:00:00,20,CESAR,48
9,1/1/2021 0:00:00,23,CORDOBA,47
10,1/1/2021 0:00:00,25,CUNDINAMARCA,276
11,1/1/2021 0:00:00,27,CHOCO,8
12,1/1/2021 0:00:00,41,HUILA,141
13,1/1/2021 0:00:00,44,GUAJIRA,25
14,1/1/2021 0:00:00,47,MAGDALENA,42
15,1/1/2021 0:00:00,50,META,73
16,1/1/2021 0:00:00,52,NARIÑO,160
17,1/1/2021 0:00:00,54,NORTE SANTANDER,69
18,1/1/2021 0:00:00,63,QUINDIO,97
19,1/1/2021 0:00:00,66,RISARALDA,111
20,1/1/2021 0:00:00,68,SANTANDER,192
21,1/1/2021 0:00:00,70,SUCRE,7
22,1/1/2021 0:00:00,73,TOLIMA,165
23,1/1/2021 0:00:00,76,VALLE,361
24,1/1/2021 0:00:00,81,ARAUCA,5
25,1/1/2021 0:00:00,85,CASANARE,20
26,1/1/2021 0:00:00,86,PUTUMAYO,12
27,1/1/2021 0:00:00,88,SAN ANDRES,2
28,1/1/2021 0:00:00,91,AMAZONAS,4
29,1/1/2021 0:00:00,94,GUAINIA,1
30,1/1/2021 0:00:00,95,GUAVIARE,1
31,1/1/2021 0:00:00,99,VICHADA,1
32,1/10/2020 0:00:00,5,ANTIOQUIA,1550
33,1/10/2020 0:00:00,8,ATLANTICO,107
34,1/10/2020 0:00:00,11,BOGOTA,2011
35,1/10/2020 0:00:00,13,BOLIVAR,74
36,1/10/2020 0:00:00,15,BOYACA,218
37,1/10/2020 0:00:00,17,CALDAS,201
38,1/10/2020 0:00:00,18,CAQUETA,70
39,1/10/2020 0:00:00,19,CAUCA,117
40,1/10/2020 0:00:00,20,CESAR,197
41,1/10/2020 0:00:00,23,CORDOBA,63
42,1/10/2020 0:00:00,25,CUNDINAMARCA,228
43,1/10/2020 0:00:00,27,CHOCO,2
44,1/10/2020 0:00:00,41,HUILA,345
45,1/10/2020 0:00:00,44,GUAJIRA,46
46,1/10/2020 0:00:00,47,MAGDALENA,45
47,1/10/2020 0:00:00,50,META,191
48,1/10/2020 0:00:00,52,NARIÑO,145
49,1/10/2020 0:00:00,54,NORTE SANTANDER,180
50,1/10/2020 0:00:00,63,QUINDIO,183
51,1/10/2020 0:00:00,66,RISARALDA,107
52,1/10/2020 0:00:00,68,SANTANDER,363
53,1/10/2020 0:00:00,70,SUCRE,22
